Step,Compound
0,O=C([H])CC=C
1,O=C([H])C[C@H](C)CO
2,N[C@@H](CCC(O)=O)[C@]([C@H](C)CO)([H])C([H])=O
3,N[C@](CCC(O)=O)([H])[C@]([C@H](C)CO)([H])[C@H](O)CC=C
4,OC[C@@H](C)[C@]([C@H](O)CC=C)([H])[C@@]1([H])NC(CC1)=O
5,O=C(O1)[C@@H](C)[C@]([C@@]1([H])CC=C)([H])[C@@]2([H])NC(CC2)=O
6,O=C(O1)[C@@H](C)[C@]([C@@]1([H])CCCBr)([H])[C@@]2([H])NC(CC2)=O
7,O=C1[C@@H](C)[C@]2([H])[C@@]3([H])N(C(CC3)=O)CCC[C@@]2([H])O1
